county_name,state_name,population19
Autauga,alabama,55869
Baldwin,alabama,223234
Barbour,alabama,24686
Bibb,alabama,22394
Blount,alabama,57826
Bullock,alabama,10101
Butler,alabama,19448
Calhoun,alabama,113605
Chambers,alabama,33254
Cherokee,alabama,26196
Chilton,alabama,44428
Choctaw,alabama,12589
Clarke,alabama,23622
Clay,alabama,13235
Cleburne,alabama,14910
Coffee,alabama,52342
Colbert,alabama,55241
Conecuh,alabama,12067
Coosa,alabama,10663
Covington,alabama,37049
Crenshaw,alabama,13772
Cullman,alabama,83768
Dale,alabama,49172
Dallas,alabama,37196
DeKalb,alabama,71513
Elmore,alabama,81209
Escambia,alabama,36633
Etowah,alabama,102268
Fayette,alabama,16302
Franklin,alabama,31362
Geneva,alabama,26271
Greene,alabama,8111
Hale,alabama,14651
Henry,alabama,17205
Houston,alabama,105882
Jackson,alabama,51626
Jefferson,alabama,658573
Lamar,alabama,13805
Lauderdale,alabama,92729
Lawrence,alabama,32924
Lee,alabama,164542
Limestone,alabama,98915
Lowndes,alabama,9726
Macon,alabama,18068
Madison,alabama,372909
Marengo,alabama,18863
Marion,alabama,29709
Marshall,alabama,96774
Mobile,alabama,413210
Monroe,alabama,20733
Montgomery,alabama,226486
Morgan,alabama,119679
Perry,alabama,8923
Pickens,alabama,19930
Pike,alabama,33114
Randolph,alabama,22722
Russell,alabama,57961
St Clair,alabama,89512
Shelby,alabama,217702
Sumter,alabama,12427
Talladega,alabama,79978
Tallapoosa,alabama,40367
Tuscaloosa,alabama,209355
Walker,alabama,63521
Washington,alabama,16326
Wilcox,alabama,10373
Winston,alabama,23629
"Aleutians East Borough,",alaska,3337
"Aleutians West Census Area,",alaska,5634
"Anchorage Municipality,",alaska,288000
"Bethel Census Area,",alaska,18386
"Bristol Bay Borough,",alaska,836
"Denali Borough,",alaska,2097
"Dillingham Census Area,",alaska,4916
"Fairbanks North Star Borough,",alaska,96849
"Haines Borough,",alaska,2530
"Hoonah-Angoon Census Area,",alaska,2148
"Juneau City and Borough,",alaska,31974
"Kenai Peninsula Borough,",alaska,58708
"Ketchikan Gateway Borough,",alaska,13901
"Kodiak Island Borough,",alaska,12998
"Kusilvak Census Area,",alaska,8314
"Lake and Peninsula Borough,",alaska,1592
"Matanuska-Susitna Borough,",alaska,108317
"Nome Census Area,",alaska,10004
"North Slope Borough,",alaska,9832
"Northwest Arctic Borough,",alaska,7621
"Petersburg Borough,",alaska,3266
"Prince of Wales-Hyder Census Area,",alaska,6203
"Sitka City and Borough,",alaska,8493
"Skagway Municipality,",alaska,1183
"Southeast Fairbanks Census Area,",alaska,6893
"Valdez-Cordova Census Area,",alaska,9202
"Wrangell City and Borough,",alaska,2502
"Yakutat City and Borough,",alaska,579
"Yukon-Koyukuk Census Area,",alaska,5230
Apache,arizona,71887
Cochise,arizona,125922
Coconino,arizona,143476
Gila,arizona,54018
Graham,arizona,38837
Greenlee,arizona,9498
La Paz,arizona,21108
Maricopa,arizona,4485414
Mohave,arizona,212181
Navajo,arizona,110924
Pima,arizona,1047279
Pinal,arizona,462789
Santa Cruz,arizona,46498
Yavapai,arizona,235099
Yuma,arizona,213787
Arkansas,arkansas,17486
Ashley,arkansas,19657
Baxter,arkansas,41932
Benton,arkansas,279141
Boone,arkansas,37432
Bradley,arkansas,10763
Calhoun,arkansas,5189
Carroll,arkansas,28380
Chicot,arkansas,10118
Clark,arkansas,22320
Clay,arkansas,14551
Cleburne,arkansas,24919
Cleveland,arkansas,7956
Columbia,arkansas,23457
Conway,arkansas,20846
Craighead,arkansas,110332
Crawford,arkansas,63257
Crittenden,arkansas,47955
Cross,arkansas,16419
Dallas,arkansas,7009
Desha,arkansas,11361
Drew,arkansas,18219
Faulkner,arkansas,126007
Franklin,arkansas,17715
Fulton,arkansas,12477
Garland,arkansas,99386
Grant,arkansas,18265
Greene,arkansas,45325
Hempstead,arkansas,21532
Hot Spring,arkansas,33771
Howard,arkansas,13202
Independence,arkansas,37825
Izard,arkansas,13629
Jackson,arkansas,16719
